framing_id,cluster_id,is_hostile,confidence,operation_name,analyzed_at,hostile_narrative,event_fact,state_framing,framing_delta
57,5928,t,0.8,Hostile framing of NATO's internal divisions,2026-03-21 21:58:35.234761+00,western_fatigue,"Finnish President Alexander Stubb stated that Finland should be a NATO member 'without any restrictions' and that all alliance defense means should be used for its security, while also noting Finland does not intend to become a nuclear power. He also commented on Donald Trump's statements regarding NATO's future.","Russian state media highlights Stubb's call to take Trump's threats about NATO's 'bad future' seriously, framing it as a concern within NATO itself. They also mention Stubb's statement about Finland not becoming a nuclear power but being a NATO member 'without any restrictions' and using all alliance defense means.","Russian state media selectively emphasizes Stubb's comments on Trump's NATO remarks, amplifying a potential internal division or weakness within the alliance. While Stubb did make these comments, the Russian coverage prioritizes this aspect, linking it to an ex-NATO Secretary General's similar concerns, to suggest a looming crisis for NATO under Trump. The trusted media focuses on Finland's nuclear stance and its 'no restrictions' NATO membership."
58,5802,f,0.8,"",2026-03-21 21:58:41.434619+00,"","US President Donald Trump stated that NATO faces a 'very bad future' if allies do not assist in securing the Strait of Hormuz, prompting reactions from Slovenian and Lithuanian officials.","Russian state media highlights Trump's statements about NATO's 'bad future' and 'disappointment' with the alliance, framing it as a sign of internal discord and US dissatisfaction. The Slovenian PM's concern about NATO unity depending on the US is also emphasized.","The core facts of Trump's statements are consistent across both sets of media. Russian state media, however, selectively emphasizes the negative aspects of Trump's comments ('bad future', 'disappointed') and the Slovenian PM's concerns about NATO unity, without providing the full context of the 'pressure' or the specific request for assistance in the Strait of Hormuz as clearly as the trusted media. The trusted media also includes a direct response from a Baltic state official considering the request, which is absent in the Russian coverage."
59,5996,f,0.9,"",2026-03-21 21:58:47.363651+00,"",Polish Prime Minister Donald Tusk warned that a 'Polexit' (Poland's exit from the EU) is a real threat.,"Russian state media reports Tusk's warning, attributing the threat to President Karol Nawrocki and opposition parties (PiS). Interfax specifically quotes Tusk saying 'Polexit today represents a real threat!'",The core message and attribution of the threat are consistent across both state and trusted media. Russian state media accurately reports Tusk's statements and the context he provided.
60,5914,f,0.8,"",2026-03-21 21:58:49.964606+00,"",Polish Foreign Minister Radosław Sikorski commented on the possibility of sending ships to the Strait of Hormuz and offered mediation between Hungary and Ukraine regarding the Druzhba pipeline.,"Russian state media focuses on Sikorski's statements regarding NATO not yet discussing sending ships to the Strait of Hormuz, Poland's offer to mediate between Hungary and Ukraine on the Druzhba pipeline (with a note about Hungary seeking alternative energy routes), and Poland's call for the EU to use naval missions in the Strait of Hormuz and engage in dialogue with the US.","Russian state media selectively emphasizes Sikorski's statements about NATO not discussing the issue and Poland's call for EU action, potentially to portray a lack of unified Western response or to highlight Poland's perceived alignment with US interests. The trusted media provides crucial context that Poland is willing to discuss but has no plans to send forces, which is omitted or downplayed in the Russian coverage. The Russian coverage also includes a separate, unrelated event about the Druzhba pipeline, which is not present in the trusted media's reporting on the Strait of Hormuz comments."
61,5805,f,0.9,"",2026-03-21 21:58:52.05497+00,"",Polish Prime Minister Donald Tusk stated that Poland would not send troops to the Middle East to support a US operation against Iran.,"TASS reports Tusk stating Poland will not send military support for a US operation against Iran, citing that the conflict does not directly concern Poland's security. Interfax reports Tusk stating Poland will not send troops to the 'zone of the Israeli-American conflict with Iran'.","Interfax's framing of the conflict as 'Israeli-American conflict with Iran' is a slight editorialization not present in TASS or ERR, but it doesn't fundamentally alter the core statement from Tusk. The core message from Tusk is consistent across all reports."
62,5848,f,0.7,,2026-03-21 21:58:52.061729+00,,Auto-classified clean by Fisher pre-screen (score=-0.80),,
63,5533,f,0.7,,2026-03-21 21:58:56.107172+00,,Auto-classified clean by Fisher pre-screen (score=-0.80),,
64,5568,f,0.8,"",2026-03-21 21:58:58.138674+00,"",Lithuania added 268 Russian participants of the 'Special Military Operation' (SVO) to the Schengen Information System (SIS) blacklist.,"Lithuania, following Estonia's example, will ban entry to SVO participants. Lithuania, in cooperation with Estonia, is preparing a 'blacklist' of Russians who participated in military actions in Ukraine. The Lithuanian Ministry of Internal Affairs reported on social media that the department added data on 268 Russian citizens who participated in the SVO to the Schengen Information System, SIS.","Russian state media emphasizes cooperation with Estonia and frames it as Lithuania 'following Estonia's example' and 'preparing' a blacklist, while also reporting the actual action of adding 268 individuals. Trusted media directly states the action taken by Lithuania."
65,5419,f,0.8,"",2026-03-21 21:59:03.954689+00,"",Russian customs at the Estonian border seized extremist books in Finnish.,Russian customs detained extremist books in Finnish at the border with Estonia. Three publications were found to have linguistic and psychological signs of rehabilitating Nazism.,"Russian state media explicitly states that the books contained 'linguistic and psychological signs of rehabilitating Nazism,' while trusted media only refers to them as 'extremist publications' without further detail on the content or specific findings."
66,5850,f,0.8,"",2026-03-21 21:59:06.195888+00,"","Finland, UK, and Netherlands are discussing a new mechanism for joint defense investments and arms procurement.","Interfax reports that the UK, Netherlands, and Finland will jointly purchase weapons and ammunition, citing Western media. It highlights a new mechanism to accelerate joint defense investments and increase collective purchases by 2027, quoting the Finnish Minister of Finance on strengthening the alliance and ensuring more security with the same resources.","The core event is the same: a new defense cooperation initiative involving Finland, the UK, and the Netherlands. Russian state media focuses on 'joint purchasing of weapons and ammunition' and 'accelerating joint investments,' while trusted media emphasizes the 'creation of a defense bank' and 'providing loans for arms purchases.' The difference is in the specific mechanism described (direct purchasing vs. a financial institution facilitating purchases/funding). Neither report contradicts the other, but rather highlights different aspects or interpretations of the same initiative."
67,5894,f,0.9,"",2026-03-21 21:59:08.125125+00,"",Unidentified flying object debris found in Poland near the Ukrainian border.,"Kommersant reports that wreckage of an aircraft was found in Poland near the Ukrainian border in the Lublin Voivodeship, citing Gazeta.pl.",Russian state media reports the finding as 'aircraft wreckage' without speculating on its origin or linking it to Russia. Trusted media explicitly mentions the possibility of it being a Russian drone and provides additional details about the discovery.
68,6015,t,0.9,Omission of Russian involvement in shadow fleet activities,2026-03-21 21:59:10.000733+00,"","Swedish authorities intercepted the tanker Sea Owl I, suspected of being part of Russia's shadow fleet, and arrested its Russian captain.","RT reports that Sweden intercepted the Comoros-flagged tanker Sea Owl I in the Baltic Sea, suspected of lacking nationality. The article is very brief and factual, citing Reuters.","Russian state media omits the crucial detail that the ship is suspected of being part of Russia's 'shadow fleet' and that the arrested captain is a Russian citizen. Instead, it uses the vague phrase 'suspected of lacking nationality' and focuses on the Comoros flag, which is less incriminating for Russia."
69,5913,f,0.8,"",2026-03-22 18:30:43.565737+00,"","Iranian officials commented on US and Israeli actions, specifically regarding aggression and missile defense capabilities.","Russian state media (TASS) reports Iranian Parliament Speaker Mohammad Bagher Ghalibaf stating Iran will bravely resist US and Israeli aggression, and that the US President must understand that misuse of force leads to war. A pro-Russian Telegram channel (colonel_cassad) quotes Ghalibaf saying Israel's inability to intercept missiles in Dimona indicates a new phase where Israeli skies are defenseless, implying pre-planned scenarios will be implemented.","Russian state media attributes statements about resisting aggression and the consequences of force to Parliament Speaker Ghalibaf, while also amplifying a more aggressive quote from Ghalibaf about Israel's missile defense failures and 'pre-planned scenarios' via a pro-Russian channel. Trusted media attributes a call for an 'immediate end to aggression' to President Pezeshkian. The key difference is the specific Iranian official quoted and the content of their statements, with Russian media focusing on more confrontational remarks and military implications."
70,5278,f,0.8,"",2026-03-22 20:30:37.173353+00,"","Hungarian Prime Minister Viktor Orbán stated that Europe cannot survive without Russian oil, advocating for the lifting of sanctions on Russian energy.","RT Russian reports Orbán's statement that 'Europe will not survive without oil from Russia' and that 'global deficit is not far off,' presenting it as a factual assessment of Europe's energy situation.","Russian state media focuses solely on Orbán's statement about Europe's dependence on Russian oil, presenting it as a definitive truth. Trusted media, while reporting the same statement, provides crucial counterpoints, reactions from other EU members, and additional context about Hungary's own energy situation and political maneuvering, which RT omits."
71,5268,f,0.7,,2026-03-22 22:30:32.964428+00,,Auto-classified clean by Fisher pre-screen (score=-1.02),,
72,6100,f,0.7,,2026-03-22 22:30:32.969984+00,,Auto-classified clean by Fisher pre-screen (score=-1.16),,
73,6402,f,0.9,"",2026-03-23 00:30:35.516802+00,"",Concerts of former Modern Talking member Dieter Bohlen in Lithuania were canceled.,"TASS reports that LRT stated Lithuania canceled Dieter Bohlen's concerts, reminding readers that he previously criticized anti-Russian sanctions and said 'Ukraine has no chance against Russia'.","Both outlets report the same core event and the same reasons for the cancellation (Bohlen's past statements). The Russian state media explicitly attributes the 'reminder' of his statements to LRT, while the trusted media attributes the details of his statements to DW."
74,6474,f,0.7,,2026-03-23 04:30:29.780698+00,,Auto-classified clean by Fisher pre-screen (score=-1.28),,
