campaign_id,name,severity,signal_count,detected_at,summary,is_hostile_confirmed,notes,labeled_by,labeled_at,llm_label,llm_confidence,llm_reasoning
83,Isolation,HIGH,0,2026-03-18 19:50:00.608707+00,,NARRATIVE_TAG,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.95,"The campaign name 'Isolation' is a generic thematic term with zero signals, no summary content, and no specific evidence of coordination, fabrication, or actual activity, indicating this is a narrative category placeholder rather than a detected campaign."
77,Delegitimization,HIGH,0,2026-03-17 01:50:00.508157+00,,NARRATIVE_TAG,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.95,"The campaign name 'Delegitimization' is a generic narrative category describing a type of information operation rather than a specific campaign, with no signals or evidence provided to analyze actual activity."
72,Baltic Political Repression Narrative Blitz,HIGH,42,2026-03-14 22:50:05.205796+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,The campaign name 'Baltic Political Repression Narrative Blitz' with HIGH severity and 42 coordinated signals indicates a state-directed information operation targeting Baltic states with a coordinated narrative push rather than organic news or engagement farming.
71,Kallas foreign policy criticism amplification,MEDIUM,3,2026-03-14 04:51:05.701142+00,,HOSTILE,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.85,"The campaign name describes a generic political narrative theme (criticism of Kallas's foreign policy) rather than a specific coordinated operation with evidence of state direction, monetization schemes, or organic news coverage."
70,Chaplygin-Kallas anti-Western framing push,MEDIUM,20,2026-03-14 04:50:05.524508+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,The campaign name references specific individuals (Chaplygin-Kallas) with 'anti-Western framing push' indicating coordinated messaging with geopolitical intent characteristic of state-directed information operations.
69,KOOS Russian Genocide Propaganda Push,CRITICAL,4,2026-03-13 16:50:11.124011+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.85,"Campaign name explicitly identifies Russian state-directed genocide propaganda with critical severity designation, indicating coordinated disinformation operation."
68,Narva Separatism Propaganda Surge,CRITICAL,4,2026-03-13 16:50:09.222821+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,"The campaign name 'Narva Separatism Propaganda Surge' with CRITICAL severity indicates coordinated disinformation targeting Estonian territorial integrity, consistent with state-directed information operations against NATO members."
67,Chaplygin EKRE Nuclear Fear Amplification,HIGH,8,2026-03-13 16:50:07.192627+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,"Campaign name references specific targeting (Chaplygin EKRE) with strategic fear amplification around nuclear issues, indicating coordinated state-directed information operation rather than organic coverage or engagement farming."
66,KOOS Anti-Estonia YouTube Blitz,MEDIUM,14,2026-03-13 16:50:05.218237+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,"Campaign name indicates coordinated anti-Estonia messaging on YouTube with 'blitz' suggesting organized timing and state-targeted narrative, consistent with information operation patterns."
65,Baltic Energy Crisis Disinformation Push,HIGH,12,2026-03-13 04:50:31.51584+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.85,"The campaign name explicitly identifies this as a disinformation push targeting Baltic energy issues with HIGH severity, indicating coordinated false information operations rather than organic content or engagement farming."
64,Stefanov Baltic Repression Narrative Blitz,HIGH,26,2026-03-13 04:50:29.901526+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,"The campaign name indicates a coordinated 'narrative blitz' targeting Baltic states with a 'repression narrative' attributed to Stefanov, suggesting state-directed coordination with strategic messaging, and the HIGH severity rating with 26 signals indicates organized amplification rather than organic coverage."
63,Estonian Language Militarization Push,HIGH,34,2026-03-13 04:50:27.762494+00,,HOSTILE,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.75,"The campaign name describes a broad thematic narrative about Estonian language policy rather than a specific coordinated operation with provided evidence of state coordination, fabrication, or monetization patterns."
62,Baltic Tension Amplification by Pro-Russian Media,HIGH,43,2026-03-13 04:50:23.503683+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.85,"The campaign name explicitly identifies pro-Russian state media coordination amplifying geopolitical tensions in the Baltic region, which is consistent with state-directed information operations targeting NATO members."
59,Baltic War Fear Propaganda Push,CRITICAL,225,2026-03-13 04:50:18.004183+00,,HOSTILE,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.85,"The campaign name 'Baltic War Fear Propaganda Push' describes a thematic narrative category rather than a specific coordinated campaign, and no evidence of state coordination, fabricated content, clickbait patterns, or factual reporting is provided in the data."
58,Rail Baltica Corruption Smear,MEDIUM,6,2026-03-13 04:50:16.021333+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,"The campaign name 'Rail Baltica Corruption Smear' indicates a coordinated disinformation effort targeting a specific EU infrastructure project, consistent with state-directed operations to undermine Western initiatives."
56,Chaplygin Anti-Baltic Media Network,MEDIUM,206,2026-03-13 04:50:11.56759+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.65,"The campaign name 'Chaplygin Anti-Baltic Media Network' indicates a coordinated network with geopolitical targeting against Baltic states, consistent with state-directed information operations despite limited evidence details."
55,RT Baltic Media Replacement Narrative,MEDIUM,8,2026-03-13 04:50:09.642973+00,,HOSTILE,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.75,"The campaign name describes a generic narrative theme ('Baltic Media Replacement Narrative') associated with RT rather than a specific coordinated operation with concrete evidence of state coordination, fabricated content, or timing patterns."
34,"EKRE Anti-Western ""US Exploits Estonia"" Push",HIGH,10,2026-03-11 12:00:00+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.75,"Campaign name indicates coordinated anti-Western messaging targeting US-Estonia relations with strategic geopolitical framing, marked as HIGH severity with multiple signals suggesting state-aligned information operation rather than organic discourse."
32,"KOOS ""Russian Genocide"" Propaganda Push",CRITICAL,21,2026-03-09 12:00:00+00,,HOSTILE,,algorithm_name_matching,2026-03-23,HOSTILE_IO,0.85,"Campaign name explicitly identifies coordinated Russian state propaganda with genocide narrative framing, indicating state-directed disinformation operation."
33,Narva Coalition Crisis Amplification,MEDIUM,14,2026-03-07 12:00:00+00,,HOSTILE,,algorithm_name_matching,2026-03-23,NARRATIVE_TAG,0.75,"The campaign name 'Narva Coalition Crisis Amplification' describes a thematic narrative category rather than a specific coordinated campaign, and no evidence of state coordination, fabricated content, clickbait patterns, or factual reporting is provided."
